"sample","ahrr","epismoke","joehanes","epitob","smoking_raw","smoking","cohort"
"GSM1225880",0.84953,0.62009,0.706228888888889,0.712295833333333,0,"never","GSE50660"
"GSM1225881",0.8472,0.7290525,0.76127,0.759163333333333,0,"never","GSE50660"
"GSM1225882",0.59644,0.5264725,0.64989,0.675135833333333,2,"current","GSE50660"
"GSM1225883",0.45727,0.4314425,0.588482222222222,0.586305,2,"current","GSE50660"
"GSM1225884",0.83819,0.59821,0.685351111111111,0.683903333333333,0,"never","GSE50660"
"GSM1225885",0.54061,0.4735225,0.599617777777778,0.616818333333333,2,"current","GSE50660"
"GSM1225886",0.5265,0.47561,0.610921111111111,0.636031666666667,2,"current","GSE50660"
"GSM1225887",0.80856,0.605365,0.69097,0.692588333333333,0,"never","GSE50660"
"GSM1225888",0.79022,0.6108925,0.698692222222222,0.699719166666667,0,"never","GSE50660"
"GSM1225889",0.62663,0.53107,0.637298888888889,0.64751,0,"never","GSE50660"
"GSM1225890",0.51451,0.5142425,0.648422222222222,0.660334166666667,2,"current","GSE50660"
"GSM1225891",0.82362,0.61743,0.707548888888889,0.722350833333333,0,"never","GSE50660"
